no;y;z1;z2
1;0;1.8919046;-0.01946381
2;7.8770936;1.8280301;-0.21366176
3;6.2952817;-0.064073421;-0.20009088
4;1.7670932;0.074526239;-0.20057464
5;-0.1922468;0.55356149;-0.63383219
6;1.3851495;0.55348464;0.22057743
7;3.8981045;0.21590205;0.005621361
8;4.9922307;0.30732149;1.4999687
9;10.038344;-0.050147414;1.7525973
10;11.473025;0.010947906;1.6606299
11;17.646326;1.4878956;3.2536492
12;31.703831;1.0263588;4.3607684
13;39.326329;2.1253832;4.964696
14;45.003179;1.9430986;4.6553066
15;49.605681;3.3145795;5.7358784
16;61.02805;4.4786409;5.7661628
17;65.240578;3.1574856;5.4000953
18;57.721158;2.627964;4.6261583
19;51.436128;2.826083;4.2182382
20;53.77228;3.5124961;6.0040443
21;65.429611;4.58707;6.3796908
22;72.069888;4.2248979;6.7494646
23;75.38051;6.2798951;5.1832383
24;79.336325;6.9733265;5.9643219
25;87.94381;7.0117468;7.5884553
26;99.170975;8.8053562;7.2293992
27;107.65429;8.8604338;8.6600952
28;115.6486;9.0126753;8.7827792
29;115.86862;8.8916496;7.4124302
30;109.6498;9.4721657;5.9355967
31;106.46844;9.2531722;6.3587965
32;108.76141;10.18711;6.4492669
33;109.4649;8.8782214;5.8744593
34;103.99369;9.1376038;6.3932916
35;99.502588;8.5152738;5.2420967
36;98.745244;9.8980389;5.4906809
37;101.80144;9.8320005;5.3897391
38;105.52686;11.822981;5.3345512
39;112.19143;10.310417;5.6242812
40;113.64614;11.111427;6.7268343
41;121.11903;9.7648381;8.9380827
42;125.43451;9.0662811;9.8078201
43;128.08903;8.4535554;10.534565
44;127.17464;8.319914;9.5917838
45;125.97893;10.146676;9.7281649
46;132.06983;10.336628;9.5033935
47;140.9959;12.633663;10.792942
48;153.78361;12.913595;11.359758
49;159.26906;13.779007;9.0345302
50;148.64603;11.860831;7.8341928
51;134.68591;12.434698;7.2114087
52;134.84697;12.298399;7.7350586
53;130.24615;9.8819942;8.5085223
54;127.09785;9.6396519;9.6157349
55;128.20908;8.6031048;10.397197
56;130.81905;9.6616733;10.524706
57;133.58469;9.8238691;9.8509064
58;134.58149;11.073619;9.1879633
59;137.54921;10.805299;11.590889
60;149.03861;11.615763;11.235064
61;146.71929;10.470798;10.284436
62;140.28899;9.6469649;10.445263
63;133.35197;8.2490142;9.5037822
64;119.20807;8.4824563;7.4018968
65;108.87908;8.0929351;7.2134907
66;106.71907;7.2176623;9.0775605
67;109.66162;7.2448484;9.022899
68;107.50391;5.9387929;10.026323
69;107.20393;6.2878613;9.9556297
70;115.11579;9.0722828;10.66987
71;131.23853;10.497584;10.391263
72;142.75861;11.126785;11.509837
73;154.10898;11.806815;12.091114
74;159.52218;11.69612;12.425152
75;158.9304;10.719692;11.839711
76;151.87784;10.831902;10.392938
77;140.97542;9.1006139;10.838781
78;134.56138;8.5650097;9.7401899
79;124.31462;8.2342501;9.0239074
80;122.86112;8.9907718;10.480198
81;125.68875;9.0049864;9.7943627
82;121.62234;7.8018293;8.7441023
83;116.02386;8.8589173;8.9179503
84;116.64249;8.3381083;8.5016255
85;122.43633;11.387752;9.263664
86;138.78815;11.264109;10.926305
87;145.16309;11.726901;9.9352366
88;150.38828;12.027284;11.107296
89;150.80101;11.273817;9.8733256
90;147.2512;12.842815;9.5563665
91;148.53229;12.782118;9.12228
92;149.53975;12.552331;9.4393681
93;149.19334;12.675213;8.6365367
94;144.41983;12.534738;7.8701836
95;138.4423;11.382338;8.764037
96;140.87355;10.903438;10.258687
97;144.06964;10.665448;11.290945
98;148.64041;12.880741;10.961526
99;157.36945;14.639321;8.7003178
100;160.63051;15.681119;9.2670084
101;166.05185;15.356579;9.8572672
102;169.57544;14.8746;9.913104
103;164.93585;15.587792;7.9803166
104;164.95706;16.342762;9.7263353
105;173.70307;16.99314;9.6823569
106;174.68574;16.70526;7.8190263
107;165.65626;15.853365;7.6227773
108;161.37829;16.301308;8.1522001
